Playoff Round,Winner ,Loser,Year
Finals,Denver Nuggets,Miami Heat,2023
Eastern Conference Finals,Miami Heat,Boston Celtics,2023
Western Conference Finals,Denver Nuggets,Los Angeles Lakers,2023
Eastern Conference Semifinals ,Boston Celtics,Philadelphia 76ers,2023
Eastern Conference Semifinals ,Miami Heat,New York Knicks,2023
Western Conference Semifinals ,Denver Nuggets,Phoenix Suns,2023
Western Conference Semifinals ,Los Angeles Lakers,Golden State Warriors,2023
Eastern Conference First Round ,Boston Celtics,Atlanta Hawks,2023
Eastern Conference First Round ,Miami Heat,Milwaukee Bucks,2023
Eastern Conference First Round ,New York Knicks,Cleveland Cavaliers,2023
Eastern Conference First Round ,Philadelphia 76ers,Brooklyn Nets,2023
Western Conference First Round ,Denver Nuggets,Minnesota Timberwolves,2023
Western Conference First Round ,Golden State Warriors,Sacramento Kings,2023
Western Conference First Round ,Los Angeles Lakers,Memphis Grizzlies,2023
Western Conference First Round ,Phoenix Suns,Los Angeles Clippers,2023
Finals,Golden State Warriors,Boston Celtics,2022
Eastern Conference Finals,Boston Celtics,Miami Heat,2022
Western Conference Finals,Golden State Warriors,Dallas Mavericks,2022
Eastern Conference Semifinals,Boston Celtics,Milwaukee Bucks,2022
Eastern Conference Semifinals,Miami Heat,Philadelphia 76ers,2022
Western Conference Semifinals,Dallas Mavericks,Phoenix Suns,2022
Western Conference Semifinals,Golden State Warriors,Memphis Grizzlies,2022
Eastern Conference First Round,Boston Celtics,Brooklyn Nets,2022
Eastern Conference First Round,Miami Heat,Atlanta Hawks,2022
Eastern Conference First Round,Milwaukee Bucks,Chicago Bulls,2022
Eastern Conference First Round,Philadelphia 76ers,Toronto Raptors,2022
Western Conference First Round,Dallas Mavericks,Utah Jazz,2022
Western Conference First Round,Golden State Warriors,Denver Nuggets,2022
Western Conference First Round,Memphis Grizzlies,Minnesota Timberwolves,2022
Western Conference First Round,Phoenix Suns,New Orleans Pelicans,2022
Finals,Milwaukee Bucks,Phoenix Suns,2021
Eastern Conference Finals ,Milwaukee Bucks,Atlanta Hawks,2021
Western Conference Finals,Phoenix Suns,Los Angeles Clippers,2021
Eastern Conference Semifinals,Atlanta Hawks,Philadelphia 76ers,2021
Eastern Conference Semifinals,Milwaukee Bucks,Brooklyn Nets,2021
Western Conference Semifinals,Los Angeles Clippers,Utah Jazz,2021
Western Conference Semifinals,Phoenix Suns,Denver Nuggets,2021
Eastern Conference First Round,Atlanta Hawks,New York Knicks,2021
Eastern Conference First Round,Brooklyn Nets,Boston Celtics,2021
Eastern Conference First Round,Milwaukee Bucks,Miami Heat,2021
Eastern Conference First Round,Philadelphia 76ers,Washington Wizards,2021
Western Conference First Round,Denver Nuggets,Portland Trail Blazers,2021
Western Conference First Round,Los Angeles Clippers,Dallas Mavericks,2021
Western Conference First Round,Phoenix Suns,Los Angeles Lakers,2021
Western Conference First Round,Utah Jazz,Memphis Grizzlies,2021
Finals,Los Angeles Lakers,Miami Heat,2020
Eastern Conference Finals ,Miami Heat,Boston Celtics,2020
Western Conference Finals,Los Angeles Lakers,Denver Nuggets,2020
Eastern Conference Semifinals,Boston Celtics,Toronto Raptors,2020
Eastern Conference Semifinals,Miami Heat,Milwaukee Bucks,2020
Western Conference Semifinals,Denver Nuggets,Los Angeles Clippers,2020
