Team_x,Year,Rk,Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,eFG%,TOV%,ORB%,FT/FGA,Playoffs,eFG%.1,TOV%.1,DRB%,FT/FGA.1,Successful,Arena,Attend.,Attend./G,Lost To,Round made it to,Team_y,Lost to Rk,Lost to Age,Lost to W,Lost to L,Lost to PW,Lost to PL,Lost to MOV,Lost to SOS,Lost to SRS,Lost to ORtg,Lost to DRtg,Lost to NRtg,Lost to Pace,Lost to FTr,Lost to 3PAr,Lost to TS%,Lost to eFG%,Lost to TOV%,Lost to ORB%,Lost to FT/FGA,Lost to Playoffs,Lost to eFG%.1,Lost to TOV%.1,Lost to DRB%,Lost to FT/FGA.1,Lost to Successful,Lost to Arena,Lost to Attend.,Lost to Attend./G,Lost to Round made it to,Difference NRtg,Difference W,Difference MOV,Difference Pace,Difference ORtg,Difference DRtg,Difference Age,Difference TS%
Miami Heat,2011,1,29.0,58,24,61,21,7.46,-0.71,6.76,111.7,103.5,8.2,90.9,0.363,0.235,0.573,0.524,13.5,25.2,0.279,1.0,0.475,12.6,75.5,0.223,1,AmericanAirlines Arena,"810,930","19,779",Dallas Mavericks,Finals,Dallas Mavericks,8.0,30.9,57.0,25.0,53.0,29.0,4.23,0.18,4.41,109.7,105.0,4.7,91.3,0.286,0.274,0.565,0.525,13.6,24.1,0.222,1.0,0.488,13.0,74.8,0.206,1.0,American Airlines Center,"824,162","20,102",NBA Champion,-3.499999999999999,-1.0,-3.2299999999999995,0.3999999999999915,-2.0,1.5,1.8999999999999986,-0.008000000000000007
Chicago Bulls,2011,2,26.4,62,20,61,21,7.32,-0.79,6.53,108.3,100.3,8.0,90.4,0.305,0.215,0.541,0.501,13.5,29.4,0.227,1.0,0.463,13.6,76.2,0.222,1,United Center,"893,462","21,792",Miami Heat,Conference Finals,Miami Heat,1.0,29.0,58.0,24.0,61.0,21.0,7.46,-0.71,6.76,111.7,103.5,8.2,90.9,0.363,0.235,0.573,0.524,13.5,25.2,0.279,1.0,0.475,12.6,75.5,0.223,1.0,AmericanAirlines Arena,"810,930","19,779",Finals,0.1999999999999993,-4.0,0.13999999999999968,0.5,3.4000000000000057,3.200000000000003,2.6000000000000014,0.03199999999999992
Los Angeles Lakers,2011,3,30.2,57,25,58,24,6.11,-0.1,6.01,111.0,104.3,6.7,90.7,0.293,0.22,0.545,0.502,12.3,29.2,0.228,1.0,0.477,12.8,72.3,0.181,0,STAPLES Center,"778,877","18,997",Dallas Mavericks,Conference Semifinals,Dallas Mavericks,8.0,30.9,57.0,25.0,53.0,29.0,4.23,0.18,4.41,109.7,105.0,4.7,91.3,0.286,0.274,0.565,0.525,13.6,24.1,0.222,1.0,0.488,13.0,74.8,0.206,1.0,American Airlines Center,"824,162","20,102",NBA Champion,-2.0,0.0,-1.88,0.5999999999999943,-1.2999999999999972,0.7000000000000028,0.6999999999999993,0.019999999999999907
San Antonio Spurs,2011,4,28.8,61,21,56,26,5.71,0.16,5.86,111.8,105.6,6.2,92.3,0.299,0.261,0.567,0.527,12.8,24.9,0.229,1.0,0.491,12.6,74.6,0.19,0,AT&T Center,"750,879","18,314",Memphis Grizzlies,Conference First Round,Memphis Grizzlies,10.0,25.2,46.0,36.0,48.0,34.0,2.34,0.2,2.55,107.6,105.1,2.5,91.9,0.291,0.136,0.534,0.493,13.0,28.9,0.218,1.0,0.502,15.7,72.5,0.228,0.0,FedEx Forum,"600,687","14,651",Conference Semifinals,-3.7,-15.0,-3.37,-0.3999999999999915,-4.200000000000003,-0.5,-3.6000000000000014,-0.03299999999999992
Boston Celtics,2011,5,29.5,56,26,57,25,5.37,-0.54,4.83,106.2,100.3,5.9,90.4,0.305,0.18,0.561,0.519,14.5,21.1,0.235,1.0,0.469,14.8,74.7,0.235,0,TD Garden,"763,584","18,624",Miami Heat,Conference Semifinals,Miami Heat,1.0,29.0,58.0,24.0,61.0,21.0,7.46,-0.71,6.76,111.7,103.5,8.2,90.9,0.363,0.235,0.573,0.524,13.5,25.2,0.279,1.0,0.475,12.6,75.5,0.223,1.0,AmericanAirlines Arena,"810,930","19,779",Finals,2.299999999999999,2.0,2.09,0.5,5.5,3.200000000000003,-0.5,0.0119999999999999
Orlando Magic,2011,6,27.6,52,30,56,26,5.46,-0.54,4.92,107.9,102.0,5.9,91.2,0.328,0.328,0.554,0.521,14.3,26.1,0.227,1.0,0.475,13.3,76.9,0.219,0,Amway Center,"777,852","18,972",Atlanta Hawks,Conference First Round,Atlanta Hawks,18.0,27.4,44.0,38.0,39.0,43.0,-0.82,-0.28,-1.1,106.1,107.0,-0.9,89.3,0.269,0.222,0.542,0.501,13.5,23.4,0.209,1.0,0.495,12.3,74.6,0.211,0.0,Philips Arena,"641,596","15,649",Conference Semifinals,-6.800000000000001,-8.0,-6.28,-1.9000000000000057,-1.8000000000000114,5.0,-0.20000000000000284,-0.01200000000000001
Denver Nuggets,2011,7,27.3,50,32,54,28,4.76,0.05,4.81,112.3,107.3,5.0,95.6,0.367,0.258,0.574,0.526,13.1,23.9,0.281,1.0,0.5,12.7,75.4,0.224,0,Pepsi Center,"696,568","16,989",Oklahoma City Thunder,Conference First Round,Oklahoma City Thunder,9.0,23.7,55.0,27.0,51.0,31.0,3.79,0.02,3.81,111.2,107.2,4.0,92.7,0.363,0.212,0.561,0.501,13.1,27.4,0.299,1.0,0.493,12.9,73.6,0.228,1.0,Chesapeake Energy Arena,"744,068","18,148",Conference Finals,-1.0,5.0,-0.9699999999999998,-2.8999999999999915,-1.0999999999999943,-0.09999999999999432,-3.6000000000000014,-0.0129999999999999
Dallas Mavericks,2011,8,30.9,57,25,53,29,4.23,0.18,4.41,109.7,105.0,4.7,91.3,0.286,0.274,0.565,0.525,13.6,24.1,0.222,1.0,0.488,13.0,74.8,0.206,1,American Airlines Center,"824,162","20,102",,NBA Champion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oklahoma City Thunder,2011,9,23.7,55,27,51,31,3.79,0.02,3.81,111.2,107.2,4.0,92.7,0.363,0.212,0.561,0.501,13.1,27.4,0.299,1.0,0.493,12.9,73.6,0.228,1,Chesapeake Energy Arena,"744,068","18,148",Dallas Mavericks,Conference Finals,Dallas Mavericks,8.0,30.9,57.0,25.0,53.0,29.0,4.23,0.18,4.41,109.7,105.0,4.7,91.3,0.286,0.274,0.565,0.525,13.6,24.1,0.222,1.0,0.488,13.0,74.8,0.206,1.0,American Airlines Center,"824,162","20,102",NBA Champion,0.7000000000000002,2.0,0.4400000000000004,-1.4000000000000057,-1.5,-2.200000000000003,7.199999999999999,0.0039999999999998925
Memphis Grizzlies,2011,10,25.2,46,36,48,34,2.34,0.2,2.55,107.6,105.1,2.5,91.9,0.291,0.136,0.534,0.493,13.0,28.9,0.218,1.0,0.502,15.7,72.5,0.228,0,FedEx Forum,"600,687","14,651",Oklahoma City Thunder,Conference Semifinals,Oklahoma City Thunder,9.0,23.7,55.0,27.0,51.0,31.0,3.79,0.02,3.81,111.2,107.2,4.0,92.7,0.363,0.212,0.561,0.501,13.1,27.4,0.299,1.0,0.493,12.9,73.6,0.228,1.0,Chesapeake Energy Arena,"744,068","18,148",Conference Finals,1.5,9.0,1.4500000000000002,0.7999999999999972,3.6000000000000085,2.1000000000000085,-1.5,0.027000000000000024
